epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro,lr
1,1.3772963249108654,1.3882671061666638,0.44831880448318806,0.31649074609600925,0.26324177059348974,0.41384719816831533,0.001
2,1.086440588693782,1.1368759376174338,0.5330012453300125,0.5167132701649698,0.6861951058057711,0.5609717626000632,0.001
3,0.8302237947102097,0.7978370002613566,0.7285180572851806,0.7249930534112072,0.7357273966385701,0.7247820423214966,0.001
4,0.7474308170019004,0.9126979357575717,0.6612702366127023,0.6586868852757897,0.7844144667943296,0.6707586493897063,0.001
5,0.6966731077219428,0.6731645871663599,0.7546699875466999,0.7513406347648777,0.7839329884682913,0.7568557151975529,0.001
6,0.66786942098226,0.9108001545238613,0.6525529265255293,0.6362310673677612,0.7504971541556908,0.6243482679794369,0.001
7,0.6255305638394868,0.5419643885023419,0.800747198007472,0.8017955681252189,0.813510215294112,0.799474983710717,0.001
8,0.5986101286222182,0.5720842846600829,0.7870485678704857,0.7822674955243656,0.8173582037745145,0.7763182186712788,0.001
9,0.5800641406379629,0.5030601152298905,0.813200498132005,0.8121593614062472,0.8123148046729588,0.8193696781289083,0.001
10,0.531921745848322,0.5625894192146929,0.7858032378580324,0.7854384400931774,0.8146142993450667,0.7825555249755796,0.001
11,0.5544198544733632,0.4984890960370322,0.8194271481942715,0.8170959283893344,0.8260522513610422,0.8212327307352044,0.001
12,0.514589355151353,0.5346755407667101,0.8194271481942715,0.8173401157149003,0.8262200029479979,0.8218246220039986,0.001
13,0.4921522714116525,0.44220742594408957,0.8268991282689913,0.8266177494815045,0.8345646659641947,0.8257086105975364,0.001
14,0.4770801745621635,0.4699891583708719,0.8194271481942715,0.8165046906020755,0.8257065140211486,0.82733077518561,0.001
15,0.48199918238593853,0.5772704292798547,0.7808219178082192,0.7895755703375243,0.835795120982327,0.7820205658493065,0.001
16,0.45962606034419773,0.47482632054189966,0.8194271481942715,0.8167231163143805,0.8327138545374799,0.8139555682351158,0.001
17,0.44550698830588237,0.41089678630882304,0.838107098381071,0.8383789998528574,0.8398857776536482,0.8409557031131655,0.001
18,0.42475428023197415,0.4083122410260577,0.8443337484433375,0.8439853347489352,0.8459192711519607,0.8445085976989526,0.001
19,0.4350805866588515,0.4017256317221807,0.8518057285180572,0.8496849546524334,0.8519121224345106,0.851402386216599,0.001
20,0.3979395868433393,0.4189318923991763,0.8430884184308842,0.8400840506415463,0.8508390900221228,0.8434684538561731,0.001
21,0.4018324249222712,0.3679221483831239,0.8717310087173101,0.8707598589438582,0.8797525047612188,0.8658207200752317,0.001
22,0.39735061612507416,0.44141096010303144,0.8331257783312578,0.831133611255812,0.8421640725322878,0.8349051713036932,0.001
23,0.3853449188902812,0.4219817467275102,0.8418430884184309,0.8390541700120145,0.856245465627319,0.836185854452979,0.001
24,0.3880380027216293,0.37210673519675785,0.8617683686176837,0.8599190134808307,0.8785227897853851,0.8539124361846845,0.001
25,0.36213733439868195,0.45781908637077395,0.8306351183063512,0.8278071160041826,0.8450935336759932,0.8408800776657591,0.001
26,0.3592155399070372,0.3572658530319316,0.8717310087173101,0.8691886910723102,0.8810042936266808,0.8648031889284725,0.001
27,0.3485324025154114,0.36490219315585876,0.8767123287671232,0.8729850452019339,0.8789049959589326,0.8718081329214071,0.001
28,0.34828773106609123,0.35209681771018286,0.8679950186799502,0.8653538971054642,0.8732240764515652,0.8621947465481826,0.001
29,0.33074313754427304,0.36199715406927346,0.863013698630137,0.8605137272071876,0.8662329814498702,0.8645319115679942,0.001
30,0.33194468757412854,0.36908136562422234,0.863013698630137,0.8605369257885609,0.8795032520218088,0.8524024603513171,0.001
31,0.326986649915182,0.35607870500929106,0.8704856787048568,0.867880162482861,0.8696406715275989,0.8718640050017367,0.001
32,0.3179892952946445,0.42912295753899427,0.8331257783312578,0.8326846888634684,0.8436527675908462,0.8382248425654983,0.001
33,0.3024852838709047,0.3708709524770454,0.8567870485678705,0.8531998747548851,0.8811017354068064,0.8455620124062093,0.0005
34,0.2659772689661379,0.3017366199845803,0.8854296388542964,0.8846904119289171,0.8955842289844238,0.8801056360812389,0.0005
35,0.25038471018915787,0.277852071641688,0.8991282689912827,0.8980902902811774,0.9031068871339741,0.8963888609157694,0.0005
36,0.22263938349846918,0.25597525094629986,0.9066002490660025,0.9060766355438522,0.9093535837820415,0.9054038022754216,0.0005
37,0.21937078210651226,0.30998397467061783,0.8779576587795765,0.8774687990178933,0.8804006142485304,0.8795127865247936,0.0005
38,0.20154975049232435,0.2825237572318405,0.9028642590286425,0.9014422334321587,0.9062367526016384,0.8990948316959774,0.0005
39,0.21700129620209452,0.27861993685121167,0.9016189290161893,0.9014422580356923,0.9029819720088131,0.9017346988405631,0.0005
40,0.2046744889224855,0.2607589795620669,0.9028642590286425,0.9019909374985053,0.9017507945493126,0.904117963977812,0.0005
41,0.18444963422941382,0.2937514311581813,0.8953922789539228,0.8947242560020745,0.8973889330253012,0.8951788066195874,0.0005
42,0.1898423384730219,0.29120675833132653,0.8966376089663761,0.8953749491398776,0.9003641864724748,0.894646118672543,0.00025
43,0.17189419037122192,0.24770539343544976,0.9140722291407223,0.9130379809477212,0.9138604253740843,0.9123252793604018,0.00025
44,0.15339961683212505,0.26788154008344817,0.9028642590286425,0.9011546794289357,0.9059373523255523,0.899089064829097,0.00025
45,0.1334320930262932,0.26555787587386426,0.9103362391033624,0.9097270658115688,0.9136735148909063,0.9075396261853254,0.00025
46,0.15560980228993979,0.2606748607932273,0.9066002490660025,0.9053675068581416,0.9097607861637937,0.9026794161955219,0.00025
47,0.14698349719470247,0.2409840406538863,0.9103362391033624,0.9097769834548025,0.9136896867711334,0.9073067660357573,0.00025
48,0.1345255319428852,0.2838935840290369,0.9103362391033624,0.9082128890776131,0.9171798573407631,0.904821006972306,0.00025
49,0.12987570653714436,0.2569970651792135,0.9053549190535491,0.9035371428281962,0.9069540748966031,0.9021326667565139,0.000125
50,0.11971582055879788,0.2566921451111042,0.9078455790784558,0.9059703597764276,0.9121994199309288,0.9025425128326983,0.000125
